run_id,time,source,target,risky_fraction,ours_avg_reliability,ours_min_reliability,ours_hops,ours_survived,ours_evaluable,ours_surviving_fraction,ours_broken_hops,ours_path_len,paper_baseline_avg_reliability,paper_baseline_min_reliability,paper_baseline_hops,paper_baseline_survived,paper_baseline_evaluable,paper_baseline_surviving_fraction,paper_baseline_broken_hops,paper_baseline_path_len,classic_baseline_avg_reliability,classic_baseline_min_reliability,classic_baseline_hops,classic_baseline_survived,classic_baseline_evaluable,classic_baseline_surviving_fraction,classic_baseline_broken_hops,classic_baseline_path_len
1,1.0,3,94,0.0,0.6499936840432535,0.5516292816674646,7,0,1,0.2857142857142857,5,8,0.6192487563405719,0.5734705626964569,7,0,1,0.2857142857142857,5,8,0.6425693788966284,0.5451523831348001,7,0,1,0.2857142857142857,5,8
1,1.0,94,13,0.0,0.6908235468758163,0.6593963424856673,3,0,1,0.3333333333333333,2,4,0.6132556597391764,0.5911126732826233,3,0,1,0.0,3,4,0.6593963424856673,0.6593963424856673,3,0,1,0.0,3,4
1,8.0,86,94,0.0,0.3768912560957668,0.26925123561408415,4,0,1,0.5,2,5,0.6057615131139755,0.5631441175937653,4,0,1,0.5,2,5,0.3711868560905549,0.26925123561408415,4,0,1,0.5,2,5
1,8.0,69,11,0.0,0.44972093533398994,0.3068317639740785,2,0,1,0.0,2,3,0.677303358912468,0.6647175550460815,2,0,1,0.5,1,3,0.38405456830790907,0.3068317639740785,2,0,1,0.5,1,3
1,15.0,75,54,0.0,0.4974659854988106,0.43377432172033514,2,1,1,1.0,0,3,0.6605342924594879,0.6605342924594879,2,1,1,1.0,0,3,0.4974659854988106,0.43377432172033514,2,1,1,1.0,0,3
1,15.0,4,3,0.0,0.3863695226760343,0.28625750978884523,5,0,1,0.4,3,6,0.5876463830471039,0.5656592845916748,5,0,1,0.4,3,6,0.30029612820646456,0.27841032536743593,5,0,1,0.4,3,6
1,22.0,11,27,0.0,0.4776473108489689,0.35197683709925687,3,0,1,0.0,3,4,0.6785949369271597,0.6434978246688843,3,0,1,0.0,3,4,0.4776473108489689,0.35197683709925687,3,0,1,0.0,3,4
1,22.0,29,64,0.0,0.4241644603221721,0.349156329764751,6,0,1,0.5,3,7,0.6150103092193604,0.6029253304004669,5,0,1,0.8,1,6,0.3606723472016782,0.2727083103548531,5,0,1,0.8,1,6
6,1.0,77,3,0.0,0.5822996564821985,0.4414058971486854,8,0,1,0.25,6,9,0.5686141885817051,0.5480250418186188,8,0,1,0.25,6,9,0.5473289429610381,0.4414058971486854,8,0,1,0.25,6,9
6,1.0,71,25,0.0,0.5965335795678508,0.45920263624078106,10,0,1,0.5,5,11,0.6392563939094543,0.5643868744373322,10,0,1,0.4,6,11,0.5960885164885379,0.45920263624078106,10,0,1,0.4,6,11
6,8.0,91,83,0.0,0.31273015422026046,0.2913382323858107,3,0,1,0.0,3,4,0.591868261496226,0.5680230259895325,3,0,1,0.3333333333333333,2,4,0.25950151051883497,0.2275392082095098,3,0,1,0.3333333333333333,2,4
6,8.0,89,69,0.0,0.3460253508105425,0.25638743465762004,3,0,1,0.6666666666666666,1,4,0.5770374437173208,0.5550007224082947,3,0,1,0.6666666666666666,1,4,0.306253279876307,0.22719698729161675,3,0,1,0.6666666666666666,1,4
6,15.0,57,75,0.0,0.37564417619411483,0.31208680394958144,5,0,1,0.2,4,6,0.577888160943985,0.5572627186775208,5,0,1,0.4,3,6,0.3270750368095453,0.2696960472307347,5,0,1,0.4,3,6
6,15.0,97,20,0.0,0.46307054743630793,0.3907757688397192,3,0,1,0.3333333333333333,2,4,0.5899762411912283,0.5746074914932251,3,0,1,0.6666666666666666,1,4,0.40828447248701605,0.38569871433550496,3,0,1,0.6666666666666666,1,4
6,22.0,89,54,0.0,0.4256448088550261,0.2935988263701994,5,0,1,0.0,5,6,0.6375091671943665,0.6233077347278595,5,0,1,0.0,5,6,0.39092437772244637,0.2935988263701994,5,0,1,0.0,5,6
6,22.0,43,35,0.0,0.4104615195337403,0.3485833821176365,4,0,1,0.0,4,5,0.6669544652104378,0.6445762813091278,4,0,1,0.25,3,5,0.39779090574803316,0.3237213178858602,4,0,1,0.25,3,5
