method,run_id,time,hop_count
classic_baseline,1,1.0,7
classic_baseline,1,1.0,3
classic_baseline,1,1.0,6
classic_baseline,1,1.0,6
classic_baseline,1,1.0,11
classic_baseline,1,2.0,11
classic_baseline,1,2.0,2
classic_baseline,1,2.0,5
classic_baseline,1,2.0,5
classic_baseline,1,2.0,2
classic_baseline,1,3.0,10
classic_baseline,1,3.0,6
classic_baseline,1,3.0,8
classic_baseline,1,3.0,3
classic_baseline,1,3.0,12
classic_baseline,1,4.0,2
classic_baseline,1,4.0,3
classic_baseline,1,4.0,7
classic_baseline,1,4.0,2
classic_baseline,1,4.0,1
classic_baseline,1,5.0,8
classic_baseline,1,5.0,9
classic_baseline,1,5.0,1
classic_baseline,1,5.0,5
classic_baseline,1,5.0,5
classic_baseline,1,6.0,7
classic_baseline,1,6.0,2
classic_baseline,1,6.0,8
classic_baseline,1,6.0,2
classic_baseline,1,6.0,4
classic_baseline,1,7.0,4
classic_baseline,1,7.0,4
classic_baseline,1,7.0,3
classic_baseline,1,7.0,8
classic_baseline,1,7.0,2
classic_baseline,1,8.0,4
classic_baseline,1,8.0,6
classic_baseline,1,8.0,3
classic_baseline,1,8.0,4
classic_baseline,1,8.0,3
classic_baseline,1,9.0,4
classic_baseline,1,9.0,2
classic_baseline,1,9.0,2
classic_baseline,1,9.0,3
classic_baseline,1,9.0,5
classic_baseline,1,10.0,3
classic_baseline,1,10.0,3
classic_baseline,1,10.0,3
classic_baseline,1,10.0,8
classic_baseline,1,10.0,4
classic_baseline,1,11.0,7
classic_baseline,1,11.0,3
classic_baseline,1,11.0,3
classic_baseline,1,11.0,6
classic_baseline,1,11.0,3
classic_baseline,1,12.0,4
classic_baseline,1,12.0,2
classic_baseline,1,12.0,6
classic_baseline,1,12.0,5
classic_baseline,1,12.0,2
classic_baseline,1,13.0,6
classic_baseline,1,13.0,2
classic_baseline,1,13.0,5
classic_baseline,1,13.0,2
classic_baseline,1,13.0,8
classic_baseline,1,14.0,1
classic_baseline,1,14.0,2
classic_baseline,1,14.0,4
classic_baseline,1,14.0,1
classic_baseline,1,14.0,2
classic_baseline,1,15.0,3
classic_baseline,1,15.0,5
classic_baseline,1,15.0,2
classic_baseline,1,15.0,6
classic_baseline,1,15.0,3
classic_baseline,1,16.0,3
classic_baseline,1,16.0,3
classic_baseline,1,16.0,4
classic_baseline,1,16.0,7
classic_baseline,1,16.0,5
classic_baseline,1,17.0,2
classic_baseline,1,17.0,4
classic_baseline,1,17.0,2
classic_baseline,1,17.0,2
classic_baseline,1,17.0,6
classic_baseline,1,18.0,4
classic_baseline,1,18.0,4
classic_baseline,1,18.0,4
classic_baseline,1,18.0,3
classic_baseline,1,18.0,1
classic_baseline,1,19.0,2
classic_baseline,1,19.0,4
classic_baseline,1,19.0,7
classic_baseline,1,19.0,3
classic_baseline,1,19.0,1
classic_baseline,1,20.0,6
classic_baseline,1,20.0,4
classic_baseline,1,20.0,5
classic_baseline,1,20.0,7
classic_baseline,1,20.0,4
classic_baseline,1,21.0,3
classic_baseline,1,21.0,4
classic_baseline,1,21.0,5
classic_baseline,1,21.0,6
classic_baseline,1,21.0,1
classic_baseline,1,22.0,3
classic_baseline,1,22.0,1
classic_baseline,1,22.0,4
classic_baseline,1,22.0,5
classic_baseline,1,22.0,3
classic_baseline,1,23.0,3
classic_baseline,1,23.0,4
classic_baseline,1,23.0,9
classic_baseline,1,23.0,1
classic_baseline,1,23.0,3
classic_baseline,1,24.0,4
classic_baseline,1,24.0,2
classic_baseline,1,24.0,7
classic_baseline,1,24.0,3
classic_baseline,1,24.0,6
classic_baseline,1,25.0,4
classic_baseline,1,25.0,4
classic_baseline,1,25.0,5
classic_baseline,1,25.0,3
classic_baseline,1,25.0,6
classic_baseline,1,26.0,8
classic_baseline,1,26.0,4
classic_baseline,1,26.0,4
classic_baseline,1,26.0,2
classic_baseline,1,26.0,7
classic_baseline,1,27.0,5
classic_baseline,1,27.0,5
classic_baseline,1,27.0,1
classic_baseline,1,27.0,4
classic_baseline,1,27.0,3
classic_baseline,1,28.0,4
classic_baseline,1,28.0,2
classic_baseline,1,28.0,4
classic_baseline,1,28.0,8
classic_baseline,1,28.0,3
classic_baseline,1,29.0,6
classic_baseline,1,29.0,1
classic_baseline,1,29.0,2
classic_baseline,1,29.0,4
classic_baseline,1,29.0,6
classic_baseline,1,30.0,6
classic_baseline,1,30.0,5
classic_baseline,1,30.0,5
classic_baseline,1,30.0,5
classic_baseline,1,30.0,2
classic_baseline,1,31.0,4
classic_baseline,1,31.0,3
classic_baseline,1,31.0,7
classic_baseline,1,31.0,4
classic_baseline,1,31.0,5
classic_baseline,1,32.0,6
classic_baseline,1,32.0,2
classic_baseline,1,32.0,4
classic_baseline,1,32.0,6
classic_baseline,1,32.0,4
classic_baseline,1,33.0,7
classic_baseline,1,33.0,7
classic_baseline,1,33.0,9
classic_baseline,1,33.0,2
classic_baseline,1,33.0,5
classic_baseline,1,34.0,4
classic_baseline,1,34.0,7
classic_baseline,1,34.0,2
classic_baseline,1,34.0,4
classic_baseline,1,34.0,3
classic_baseline,1,35.0,3
classic_baseline,1,35.0,9
classic_baseline,1,35.0,6
classic_baseline,1,35.0,8
classic_baseline,1,35.0,3
classic_baseline,1,36.0,5
classic_baseline,1,36.0,5
classic_baseline,1,36.0,3
classic_baseline,1,36.0,8
classic_baseline,1,36.0,7
classic_baseline,1,37.0,7
classic_baseline,1,37.0,5
classic_baseline,1,37.0,2
classic_baseline,1,37.0,2
classic_baseline,1,37.0,7
classic_baseline,1,38.0,5
classic_baseline,1,38.0,4
classic_baseline,1,38.0,6
classic_baseline,1,38.0,1
classic_baseline,1,38.0,3
classic_baseline,1,39.0,7
classic_baseline,1,39.0,7
classic_baseline,1,39.0,5
classic_baseline,1,39.0,6
classic_baseline,1,39.0,4
classic_baseline,1,40.0,4
classic_baseline,1,40.0,3
classic_baseline,1,40.0,6
classic_baseline,1,40.0,2
classic_baseline,1,40.0,4
classic_baseline,1,41.0,3
classic_baseline,1,41.0,3
classic_baseline,1,41.0,4
classic_baseline,1,41.0,1
classic_baseline,1,41.0,5
classic_baseline,1,42.0,2
classic_baseline,1,42.0,4
classic_baseline,1,42.0,5
classic_baseline,1,42.0,5
classic_baseline,1,42.0,3
classic_baseline,1,43.0,7
classic_baseline,1,43.0,1
classic_baseline,1,43.0,3
classic_baseline,1,43.0,6
classic_baseline,1,43.0,4
classic_baseline,1,44.0,3
classic_baseline,1,44.0,5
classic_baseline,1,44.0,1
classic_baseline,1,44.0,5
classic_baseline,1,44.0,4
classic_baseline,1,45.0,4
classic_baseline,1,45.0,3
classic_baseline,1,45.0,2
classic_baseline,1,45.0,6
classic_baseline,1,45.0,4
classic_baseline,1,46.0,4
classic_baseline,1,46.0,4
classic_baseline,1,46.0,4
classic_baseline,1,46.0,3
classic_baseline,1,46.0,2
